"Filename",14_08082202.mzData,25_22.mzData,15_2210.mzData,16_11665.mzData,23_16.mzData,24_D8o822B4.mzData,22_13.mzData,32_09082201.mzData,39_07082204.mzData,11_Grupo_control_1.mzData,20_Grupo_control_1.mzData,33_51480.mzData,46_15.mzData,26_Grupo_control_1.mzData,36_Grupo_control_1.mzData,44_Grupo_control_1.mzData,38_21.mzData,41_20.mzData,48_51468.mzData,47_51467.mzData,50_Grupo_control_1.mzData,30_08082205.mzData
run_date,,,,,,,,,,,,,,,,,,,,,,
2163/53.0003mz/9.58min,1700.0,1532.0,1732.0,2622.0,1510.0,468.0,,1022.0,2785.0,2223.0,2407.0,3135.0,1060.0,2201.0,2580.0,2645.97216796875,1028.0,3228.0,,881.0,2521.0,4492.0
15590/53.0004mz/44.95min,236.0,302.0,308.0,255.0,457.0,345.0,1516.0,322.0,223.0,,527.0,318.0,,506.0,,706.0,1154.9879150390625,897.0,334.0,370.0,692.0,1087.0
14101/53.0004mz/40.36min,210.0,199.0,262.0,220.0,207.0,305.0,612.0,239.0,188.0,410.0,434.0,311.0,322.0,396.0,414.0,495.0,1184.9908447265625,567.0,292.0,350.0,482.0,1207.0
2599/53.0005mz/10.77min,1009.0,,622.0,1302.0,535.0,258.0,,658.0,1353.0,1230.0,,1137.0,401.0,1343.0,1476.0,2377.0,436.0,14505.0,1348.0,601.0,1490.0,5859.96337890625
4507/53.0004mz/18.08min,370.0,206.0,348.0,414.0,223.0,814.9937744140625,342.0,327.0,1655.0,,1223.0,378.0,204.0,1490.0,1793.0,1802.0,300.0,,319.0,604.0,1769.0,938.0
15143/53.0004mz/43.48min,238.0,287.0,358.0,278.0,366.0,366.0,1318.9945068359375,282.0,222.0,527.0,534.0,316.0,393.0,463.0,598.0,601.0,1358.0,498.0,362.0,,642.0,938.0
2107/53.0101mz/9.57min,,,,,,,,,,,,,1059.9888916015625,,,,,,,,,
387/53.0120mz/4.22min,,,,,,,,,,2313.985107421875,,,,,,,,,,,,
1590/53.0125mz/7.11min,,,,1929.9776611328125,,,,,,,,,,,,,,,,,,
375/53.0144mz/4.18min,,,,,,,1643.98486328125,,,,,,,,,,,,,,,
2406/53.0147mz/10.40min,,,,1898.9796142578125,,,,,,,,,,,,,,,,,,
2632/53.0150mz/10.78min,,,,,,,,,1352.972900390625,,,,,,,,,,,,,
11904/53.0159mz/35.12min,,,,,,,,,,,,,,,1561.9873046875,,,,,,,
