"","AlignID","Factor","tmean","FoundIn","4_Blanco","11_QC","20_QC","26_QC","36_QC","44_QC","50_QC","15_2210","16_11665","22_13","23_16","24_08082204","25_22","30_08082205","32_07082201","33_51480","38_21","39_07082204","41_20","46_15","47_51467","48_51468"
"690",689,"Factor #689",15.5268,22,77.88208,2061,2131,2034,2922,3818,3153,123.8018,192.2323,423.1189,86.39399,88.31241,102.3721,24009,124.226,262.8439,175.7826,244.6053,2718.627,54.47021,112.7408,338.4731
"691",690,"Factor #690",15.5373,22,35.77299,1439,1314,1091,2039.783,2870,2529.304,230.0691,196.1419,432.3403,88.78146,59.45199,101.6471,6638.576,576.9227,286.0187,175.7826,252.7828,2855.238,56.84047,30.37145,348.229
"692",692,"Factor #692",15.5405,22,75.92721,763.8655,1096,858,1512,1600,1725,136.0725,81.03632,60.46096,136.3269,62.58188,77.27794,1336.036,316.1485,394.4859,74.23094,150.6384,1339.899,36.69672,81.15317,194.2401
"695",693,"Factor #693",15.5527,22,88.34329,763.8655,719,651,1316.225,1600,1687,163.3841,260.5742,119.0862,80.70639,18.25083,32.08619,584.5119,44.60094,373.3767,49.23405,45.56055,1197.822,32.44519,39.42399,131.8437
"702",698,"Factor #698",15.7993,22,38.61982,519.3043,1493,1328,2243,1609,1955,45.83202,171.9582,128.8478,25.70783,28.54015,63.9356,162.3351,56.97036,203.6372,78.55306,21.40544,229.2424,29.74524,25.94077,53.09515
"704",704,"Factor #704",16.0125,22,15.76146,870,1053,924,1079,1169,1182,1155,1951,1057,89.95652,303.9884,85.20635,3338,924,878,279.5413,1105,179.885,120.1739,1482,63.30693
"705",706,"Factor #706",16.0157,22,32.78898,869.9887,1031,923.5418,900,1169.06,1027,1154.566,1195,1056.957,89.95652,323.3797,85.20635,1545,924.2757,877.5674,276.4796,1196.24,66.48089,120.1739,1482.125,72.06971
"706",705,"Factor #705",16.0166,22,43.7791,736,1004,645,940,1163,713,853,1951.01,1056.957,89.95652,320.2493,83.23353,3338.011,817,820,273.4064,1196,303.1642,120.1739,1482.125,73.22316
"709",708,"Factor #708",16.2111,22,57.23171,741,836,858,927,1094,854,72.50865,317.7864,74.82976,47.48873,94.46307,71.37117,22007,83.23743,270.9675,153.7404,93.78617,171.951,26.4271,443.5652,120.7509
"711",710,"Factor #710",16.3155,21,33.95807,6472,7094,6271,7615,7596,7721,38.82609,53.32048,54.08696,30.26087,0,21.98462,144.9104,563.7596,54.43478,35.17391,270.2174,180296,28.86368,33.82609,82.52174
"712",711,"Factor #711",16.3195,21,34.11939,1996,7094,935,7614.849,7596,7721,39.01854,53.27779,54.45912,30.61108,0,22.05504,142.5158,513,83.4554,35.36866,270.2174,180296,37.52701,35.37411,82.52174
"713",712,"Factor #712",16.3327,20,0,6423.26,889,3620.576,5609.588,850,891,39.24314,53.127,54.2898,30.44047,0,21.7435,130.7677,563.7596,639.3035,35.25421,270.2174,180296,36.87212,50.61309,82.52174
"714",715,"Factor #715",16.4923,22,412.5927,453.2609,587,492.8261,499,597,415.3478,600.3043,900,1145,469.2609,114.3913,590.7391,1810.845,299,785.4449,568.1105,885.6087,590.2229,258.5254,38.59721,1152
"715",714,"Factor #714",16.4959,22,413.0435,459.8261,633,513.9565,499,597,529.4783,600,900,727,473.913,114.3913,577.7826,2496.02,294.6087,794,540.5495,1108,535.3239,247.3043,22.65233,1282
"717",719,"Factor #719",16.5905,22,49.3913,73784.99,125953.4,1190,1353,11734,3496,69,66.34783,66.30435,45.34783,40.01521,40.36005,101.3478,52.82609,123.0269,95.52174,87.86957,1602.783,75.69565,33.24047,61.43478
"718",718,"Factor #718",16.6111,22,49.3913,82966,129864,121788,154482,135049,155285,69,87.82066,66.30435,45.34783,44.53084,40.30435,101.4129,27.86957,75.82609,95.52174,87.86957,1670.582,75.69565,33.17391,61.43478
"719",717,"Factor #717",16.6111,22,49.3913,82966,129864,121788,154482,135049,155285,69,66.34783,66.30435,45.34783,39.95652,40.30435,101.3762,27.86957,75.82609,95.52174,87.86957,1602.783,75.69565,33.17391,61.43478
"720",720,"Factor #720",16.6459,22,14.21166,1960,597,90960.08,698,135049.3,2244,16.13798,50,66.30435,17.64553,31.21133,18.87645,101.3478,28.04039,75.82609,19.16917,87.86957,1602.783,54.47826,33.8291,61.43478
"722",721,"Factor #721",16.7064,22,569,729.6087,877,753,827,866,819.6087,833,1714,1530,683,200.4783,912,2098.087,437.1304,1594,429.0435,1471,1862.108,368.5217,119.3043,1820
"723",722,"Factor #722",16.7073,22,619,729.6087,870.8696,753.1852,856.3043,888,819.6087,961,1716.199,1533.739,680.5652,148.237,858.4364,2144.957,437.1304,1474,410.7391,1471,1804.176,368.5217,120.2609,1432
"725",725,"Factor #725",16.8269,21,103.3353,554,686,673,782,1006,960,91.3913,172.1814,141.2065,91.21304,0,78.00507,25194,107.197,205.4929,179.9333,100.9424,341.6234,85.295,194.1694,123.7343
"727",726,"Factor #726",17.0352,22,52.89337,3677,3798,3328,4297,5024,5227,590,40767,80.30435,88.67284,47.56691,68.34783,192.1525,2912,200.3848,50.76678,126.3779,57.723,90.16001,147.913,137.0357
"728",727,"Factor #727",17.0409,22,50.62355,1520,3798,2365,4297,4575,2262,589.6976,40767.31,80.30435,85.44751,45.36418,84.1766,191.4999,2912,199.4571,25.93348,124.7375,56.03815,90.34753,147.913,130.9542
"729",729,"Factor #729",17.0907,22,209.7083,495.5578,601,578.4845,680,683,652,238.6319,747.731,1262.737,115.327,50.87352,153.0948,11230.85,141.4998,545.6919,93.68064,469.9269,271.8902,138.5622,62.19277,190.8713
